id,description,amount,currency,date,created_at,updated_at,split_method,payer_id,trip_id,participants,shares,items,category
12,water bottle,100.0,INR,2025-04-11 00:00:00.000000,2025-04-11 13:08:50.607140,2025-04-11 13:08:50.607140,equal,unregistered_shivram,4,"[""4"", ""2""]","{""4"": 25.0, ""2"": 25.0, ""unregistered_shivram"": 25.0, ""unregistered_priyanka"": 25.0}","{""unregistered_participants"": [""shivram"", ""priyanka""]}",NULL
13,Train travel,6936.0,INR,2025-04-11 00:00:00.000000,2025-04-11 13:31:36.546553,2025-04-12 15:09:11.367617,equal,3,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 578.0, ""4"": 578.0, ""14"": 578.0, ""13"": 578.0, ""12"": 578.0, ""11"": 578.0, ""10"": 578.0, ""9"": 578.0, ""8"": 578.0, ""7"": 578.0, ""6"": 578.0, ""5"": 578.0}",{},Transport
14,room,1050.0,INR,2025-04-11 00:00:00.000000,2025-04-11 13:31:56.587788,2025-04-12 15:09:22.068222,equal,3,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 87.5, ""4"": 87.5, ""14"": 87.5, ""13"": 87.5, ""12"": 87.5, ""11"": 87.5, ""10"": 87.5, ""9"": 87.5, ""8"": 87.5, ""7"": 87.5, ""6"": 87.5, ""5"": 87.5}",{},Accommodation
15,food and snacks ,1076.0,INR,2025-04-11 00:00:00.000000,2025-04-11 13:32:22.702477,2025-04-12 15:03:17.205212,equal,group_everyone,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 89.63, ""4"": 89.67, ""14"": 89.67, ""13"": 89.67, ""12"": 89.67, ""11"": 89.67, ""10"": 89.67, ""9"": 89.67, ""8"": 89.67, ""7"": 89.67, ""6"": 89.67, ""5"": 89.67}",{},Food
17,goshale,100.0,INR,2025-04-12 00:00:00.000000,2025-04-12 15:15:56.574390,2025-04-12 15:15:56.574390,equal,12,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 8.37, ""4"": 8.33, ""14"": 8.33, ""13"": 8.33, ""12"": 8.33, ""11"": 8.33, ""10"": 8.33, ""9"": 8.33, ""8"": 8.33, ""7"": 8.33, ""6"": 8.33, ""5"": 8.33}",{},Other
19,Auto-trip,1200.0,INR,2025-04-12 00:00:00.000000,2025-04-12 16:14:01.268871,2025-04-12 16:14:01.268871,equal,3,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 100.0, ""4"": 100.0, ""14"": 100.0, ""13"": 100.0, ""12"": 100.0, ""11"": 100.0, ""10"": 100.0, ""9"": 100.0, ""8"": 100.0, ""7"": 100.0, ""6"": 100.0, ""5"": 100.0}",{},Transport
20,Jeep,700.0,INR,2025-04-12 00:00:00.000000,2025-04-12 16:21:18.478821,2025-04-12 16:34:49.831301,equal,group_everyone,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 58.37, ""4"": 58.33, ""14"": 58.33, ""13"": 58.33, ""12"": 58.33, ""11"": 58.33, ""10"": 58.33, ""9"": 58.33, ""8"": 58.33, ""7"": 58.33, ""6"": 58.33, ""5"": 58.33}","{""items"": [{""name"": ""jeep"", ""price"": 600.0, ""participants"": [""6""], ""unregistered"": []}, {""name"": ""jeep"", ""price"": 100.0, ""participants"": [""3""], ""unregistered"": []}]}",Transport
21,prasada,1290.0,INR,2025-04-12 00:00:00.000000,2025-04-12 16:25:55.906554,2025-04-12 16:25:55.906554,itemized,3,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""6"", ""5""]","{""3"": 30.0, ""5"": 90.0, ""6"": 30.0, ""8"": 60.0, ""9"": 180.0, ""10"": 120.0, ""4"": 90.0, ""11"": 90.0, ""12"": 210.0, ""13"": 150.0, ""14"": 240.0}","{""items"": [{""name"": ""prasada"", ""price"": 30.0, ""participants"": [""3""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 90.0, ""participants"": [""5""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 30.0, ""participants"": [""6""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 60.0, ""participants"": [""8""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 180.0, ""participants"": [""9""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 120.0, ""participants"": [""10""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 90.0, ""participants"": [""4""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 90.0, ""participants"": [""11""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 210.0, ""participants"": [""12""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 150.0, ""participants"": [""13""], ""unregistered"": []}, {""name"": ""prasada"", ""price"": 240.0, ""participants"": [""14""], ""unregistered"": []}]}",Other
22,Auto,500.0,INR,2025-04-13 00:00:00.000000,2025-04-13 06:10:17.946234,2025-04-13 06:10:32.393460,equal,13,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 41.63, ""4"": 41.67, ""14"": 41.67, ""13"": 41.67, ""12"": 41.67, ""11"": 41.67, ""10"": 41.67, ""9"": 41.67, ""8"": 41.67, ""7"": 41.67, ""6"": 41.67, ""5"": 41.67}",{},Transport
23,nothing,2000.0,INR,2025-06-16 00:00:00.000000,2025-06-16 14:13:48.170838,2025-06-16 14:17:45.614914,equal,group_everyone,5,"[""3"", ""4"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""6"", ""5""]","{""3"": 166.63, ""4"": 166.67, ""14"": 166.67, ""13"": 166.67, ""12"": 166.67, ""11"": 166.67, ""10"": 166.67, ""9"": 166.67, ""8"": 166.67, ""7"": 166.67, ""6"": 166.67, ""5"": 166.67}",{},Other
24,Cabin Rental (2 nights),800.0,INR,2025-09-01 00:00:00.000000,2025-09-06 08:15:50.773029,2025-09-06 15:46:55.255939,equal,22,6,[],"{""unregistered_bailey"": 160.0, ""unregistered_dylan"": 160.0, ""unregistered_taylor"": 160.0, ""17"": 160.0, ""23"": 160.0}","{""unregistered_participants"": [""alex"", ""bailey"", ""casey"", ""dylan"", ""taylor""]}",Accommodation
25,Groceries & Snacks,175.0,INR,2025-09-01 00:00:00.000000,2025-09-06 08:45:04.857986,2025-09-06 08:45:04.857989,equal,unregistered_Bailey,6,[],"{""unregistered_Alex"": 35.0, ""unregistered_Bailey"": 35.0, ""unregistered_Casey"": 35.0, ""unregistered_Dylan"": 35.0, ""unregistered_Taylor"": 35.0}","{""unregistered_participants"": [""Alex"", ""Bailey"", ""Casey"", ""Dylan"", ""Taylor""]}",Food
26,Gas (Round Trip),120.0,INR,2025-09-02 00:00:00.000000,2025-09-06 08:49:25.176584,2025-09-06 08:49:25.176591,equal,unregistered_Casey,6,[],"{""unregistered_Alex"": 24.0, ""unregistered_Bailey"": 24.0, ""unregistered_Casey"": 24.0, ""unregistered_Dylan"": 24.0, ""unregistered_Taylor"": 24.0}","{""unregistered_participants"": [""Alex"", ""Bailey"", ""Casey"", ""Dylan"", ""Taylor""]}",Transport
27,Dinner at Brewpub,225.0,INR,2025-09-02 00:00:00.000000,2025-09-06 08:50:06.174160,2025-09-06 08:50:06.174169,equal,unregistered_Dylan,6,[],"{""unregistered_Alex"": 45.0, ""unregistered_Bailey"": 45.0, ""unregistered_Casey"": 45.0, ""unregistered_Dylan"": 45.0, ""unregistered_Taylor"": 45.0}","{""unregistered_participants"": [""Alex"", ""Bailey"", ""Casey"", ""Dylan"", ""Taylor""]}",Food
28,Hiking Permit Passes,50.0,INR,2025-09-02 00:00:00.000000,2025-09-06 08:51:21.574502,2025-09-06 08:51:21.574508,equal,unregistered_Taylor,6,[],"{""unregistered_Alex"": 10.0, ""unregistered_Bailey"": 10.0, ""unregistered_Casey"": 10.0, ""unregistered_Dylan"": 10.0, ""unregistered_Taylor"": 10.0}","{""unregistered_participants"": [""Alex"", ""Bailey"", ""Casey"", ""Dylan"", ""Taylor""]}",Transport
29,Coffee & Pastries,32.5,INR,2025-09-02 00:00:00.000000,2025-09-06 08:52:15.271793,2025-09-06 15:46:55.249469,equal,22,6,[],"{""unregistered_Alex"": 10.83, ""unregistered_Casey"": 10.83, ""unregistered_Taylor"": 10.83}","{""unregistered_participants"": [""Alex"", ""Casey"", ""Taylor""]}",Food
30,Firewood,25.0,INR,2025-09-02 00:00:00.000000,2025-09-06 08:53:16.852921,2025-09-06 08:53:16.852923,equal,unregistered_Bailey,6,[],"{""unregistered_Alex"": 5.0, ""unregistered_Bailey"": 5.0, ""unregistered_Casey"": 5.0, ""unregistered_Dylan"": 5.0, ""unregistered_Taylor"": 5.0}","{""unregistered_participants"": [""Alex"", ""Bailey"", ""Casey"", ""Dylan"", ""Taylor""]}",Utilities
31,Movie Rentals,15.0,INR,2025-09-06 00:00:00.000000,2025-09-06 08:54:05.042197,2025-09-06 08:54:05.042205,equal,unregistered_Casey,6,[],"{""unregistered_Alex"": 3.0, ""unregistered_Bailey"": 3.0, ""unregistered_Casey"": 3.0, ""unregistered_Dylan"": 3.0, ""unregistered_Taylor"": 3.0}","{""unregistered_participants"": [""Alex"", ""Bailey"", ""Casey"", ""Dylan"", ""Taylor""]}",Entertainment
33,Brewery Tour,75.0,INR,2025-09-03 00:00:00.000000,2025-09-06 08:55:30.339168,2025-09-06 08:55:30.339175,equal,unregistered_Taylor,6,[],"{""unregistered_Alex"": 25.0, ""unregistered_Bailey"": 25.0, ""unregistered_Taylor"": 25.0}","{""unregistered_participants"": [""Alex"", ""Bailey"", ""Taylor""]}",Utilities
34,lunch,18.0,INR,2025-09-02 00:00:00.000000,2025-09-06 10:12:43.675613,2025-09-06 10:12:43.675616,equal,unregistered_Dylan,6,[],"{""unregistered_Dylan"": 18.0}","{""unregistered_participants"": [""Dylan""]}",Food
35,Hostels (City 1),1200.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:26:08.745376,2025-09-07 09:33:08.132230,equal,18,7,"[""18"", ""19"", ""21"", ""20""]","{""18"": 240.0, ""19"": 240.0, ""21"": 240.0, ""20"": 240.0, ""unregistered_zoe"": 240.0}","{""unregistered_participants"": [""zoe""]}",Accommodation
36,Train Passes,675.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:26:38.089529,2025-09-06 15:46:55.251015,equal,19,7,[],"{""unregistered_Leo"": 135.0, ""unregistered_Mia"": 135.0, ""unregistered_Noah"": 135.0, ""unregistered_Zoe"": 135.0, ""unregistered_Finn"": 135.0}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Zoe"", ""Finn""]}",Transport
37,Groceries (week 1),315.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:27:21.289429,2025-09-06 15:46:55.253758,equal,21,7,[],"{""unregistered_Leo"": 63.0, ""unregistered_Mia"": 63.0, ""unregistered_Noah"": 63.0, ""unregistered_Zoe"": 63.0, ""unregistered_Finn"": 63.0}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Zoe"", ""Finn""]}",Food
38,Rental Car + Gas,488.25,INR,2025-09-06 00:00:00.000000,2025-09-06 10:28:10.465492,2025-09-06 10:45:29.293555,equal,unregistered_zoe,7,[],"{""unregistered_leo"": 97.65, ""unregistered_mia"": 97.65, ""unregistered_noah"": 97.65, ""unregistered_zoe"": 97.65, ""20"": 97.65}","{""unregistered_participants"": [""leo"", ""mia"", ""noah"", ""zoe"", ""finn""]}",Transport
39,Museum Tickets,212.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:29:19.119938,2025-09-06 15:46:55.255407,equal,20,7,[],"{""unregistered_Leo"": 53.0, ""unregistered_Mia"": 53.0, ""unregistered_Noah"": 53.0, ""unregistered_Finn"": 53.0}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Finn""]}",Entertainment
40,Fancy Dinner,450.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:30:08.086734,2025-09-06 15:46:55.252334,equal,18,7,[],"{""unregistered_Leo"": 90.0, ""unregistered_Mia"": 90.0, ""unregistered_Noah"": 90.0, ""unregistered_Zoe"": 90.0, ""unregistered_Finn"": 90.0}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Zoe"", ""Finn""]}",Food
41,Taxis & Metro,87.3,INR,2025-09-06 00:00:00.000000,2025-09-06 10:31:15.802366,2025-09-06 15:46:55.251016,equal,19,7,[],"{""unregistered_Mia"": 29.1, ""unregistered_Noah"": 29.1, ""unregistered_Zoe"": 29.1}","{""unregistered_participants"": [""Mia"", ""Noah"", ""Zoe""]}",Transport
42,Coffee & Bakery,46.8,INR,2025-09-06 00:00:00.000000,2025-09-06 10:32:49.317371,2025-09-06 15:46:55.253760,equal,21,7,[],"{""unregistered_Noah"": 15.6, ""unregistered_Zoe"": 15.6, ""unregistered_Finn"": 15.6}","{""unregistered_participants"": [""Noah"", ""Zoe"", ""Finn""]}",Food
43,Hostels (City 2),950.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:33:28.101433,2025-09-06 10:33:28.101444,equal,unregistered_Zoe,7,[],"{""unregistered_Leo"": 190.0, ""unregistered_Mia"": 190.0, ""unregistered_Noah"": 190.0, ""unregistered_Zoe"": 190.0, ""unregistered_Finn"": 190.0}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Zoe"", ""Finn""]}",Accommodation
44,Souvenirs,120.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:34:14.066696,2025-09-06 10:34:14.066701,equal,unregistered_Zoe,7,[],"{""unregistered_Finn"": 120.0}","{""unregistered_participants"": [""Finn""]}",Utilities
45,Airport Transfer Van,120.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:34:49.763157,2025-09-06 15:46:55.252335,equal,18,7,[],"{""unregistered_Leo"": 24.0, ""unregistered_Mia"": 24.0, ""unregistered_Noah"": 24.0, ""unregistered_Zoe"": 24.0, ""unregistered_Finn"": 24.0}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Zoe"", ""Finn""]}",Transport
46,Groceries (Week 2),280.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:35:33.934405,2025-09-06 15:46:55.251016,equal,19,7,[],"{""unregistered_Leo"": 56.0, ""unregistered_Mia"": 56.0, ""unregistered_Noah"": 56.0, ""unregistered_Zoe"": 56.0, ""unregistered_Finn"": 56.0}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Zoe"", ""Finn""]}",Food
47,Pharmacy (Medicines),35.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:36:07.169547,2025-09-06 15:46:55.253761,equal,21,7,[],"{""unregistered_Noah"": 17.5, ""unregistered_Zoe"": 17.5}","{""unregistered_participants"": [""Noah"", ""Zoe""]}",Medical
48,Festival Tickets,375.0,INR,2025-09-06 00:00:00.000000,2025-09-06 10:36:43.785775,2025-09-06 10:36:43.785783,equal,unregistered_Zoe,7,[],"{""unregistered_Leo"": 125.0, ""unregistered_Zoe"": 125.0, ""unregistered_Finn"": 125.0}","{""unregistered_participants"": [""Leo"", ""Zoe"", ""Finn""]}",Entertainment
49,Final Group Dinner,320.75,INR,2025-09-06 00:00:00.000000,2025-09-06 10:37:14.884059,2025-09-06 15:46:55.255408,equal,20,7,[],"{""unregistered_Leo"": 64.15, ""unregistered_Mia"": 64.15, ""unregistered_Noah"": 64.15, ""unregistered_Zoe"": 64.15, ""unregistered_Finn"": 64.15}","{""unregistered_participants"": [""Leo"", ""Mia"", ""Noah"", ""Zoe"", ""Finn""]}",Food
50,CampGround,350.0,INR,2025-09-06 00:00:00.000000,2025-09-06 11:33:03.344265,2025-09-06 15:46:55.249471,equal,22,8,"[""20""]","{""20"": 70.0, ""unregistered_Alex"": 70.0, ""unregistered_Sam"": 70.0, ""unregistered_Talyor"": 70.0, ""unregistered_Jordan"": 70.0}","{""unregistered_participants"": [""Alex"", ""Sam"", ""Talyor"", ""Jordan""]}",
51,Food,185.5,INR,2025-09-06 00:00:00.000000,2025-09-06 11:33:47.970802,2025-09-06 11:33:47.970805,equal,unregistered_Sam,8,"[""20""]","{""20"": 37.1, ""unregistered_Alex"": 37.1, ""unregistered_Sam"": 37.1, ""unregistered_Talyor"": 37.1, ""unregistered_Jordan"": 37.1}","{""unregistered_participants"": [""Alex"", ""Sam"", ""Talyor"", ""Jordan""]}",
52,gas,120.0,INR,2025-09-06 00:00:00.000000,2025-09-06 11:34:06.992388,2025-09-06 11:34:06.992395,equal,unregistered_Talyor,8,"[""20""]","{""20"": 24.0, ""unregistered_Alex"": 24.0, ""unregistered_Sam"": 24.0, ""unregistered_Talyor"": 24.0, ""unregistered_Jordan"": 24.0}","{""unregistered_participants"": [""Alex"", ""Sam"", ""Talyor"", ""Jordan""]}",
53,firewood,65.25,INR,2025-09-06 00:00:00.000000,2025-09-06 11:34:28.776056,2025-09-06 11:34:28.776074,equal,unregistered_Jordan,8,"[""20""]","{""20"": 13.05, ""unregistered_Alex"": 13.05, ""unregistered_Sam"": 13.05, ""unregistered_Talyor"": 13.05, ""unregistered_Jordan"": 13.05}","{""unregistered_participants"": [""Alex"", ""Sam"", ""Talyor"", ""Jordan""]}",
54,camping fee,85.0,INR,2025-09-06 00:00:00.000000,2025-09-06 11:35:06.925958,2025-09-06 11:35:06.925965,equal,20,8,"[""20""]","{""20"": 21.25, ""unregistered_Alex"": 21.25, ""unregistered_Sam"": 21.25, ""unregistered_Talyor"": 21.25}","{""unregistered_participants"": [""Alex"", ""Sam"", ""Talyor""]}",
55,dinner,221.4,INR,2025-09-06 00:00:00.000000,2025-09-06 11:35:31.708754,2025-09-06 15:46:55.249471,equal,22,8,"[""20""]","{""20"": 73.8, ""unregistered_Alex"": 73.8, ""unregistered_Talyor"": 73.8}","{""unregistered_participants"": [""Alex"", ""Talyor""]}",
56,coffee,38.0,INR,2025-09-06 00:00:00.000000,2025-09-06 11:35:52.974652,2025-09-06 11:35:52.974661,equal,unregistered_Sam,8,[],"{""unregistered_Sam"": 19.0, ""unregistered_Jordan"": 19.0}","{""unregistered_participants"": [""Sam"", ""Jordan""]}",
57,dinner,100.0,INR,2025-09-06 00:00:00.000000,2025-09-06 12:06:05.196545,2025-09-06 12:06:05.196551,equal,20,9,"[""20""]","{""20"": 33.34, ""unregistered_Bao"": 33.33, ""unregistered_Alex"": 33.33}","{""unregistered_participants"": [""Bao"", ""Alex""]}",
58,trans,250.0,INR,2025-09-06 00:00:00.000000,2025-09-06 12:06:24.460140,2025-09-06 15:46:55.249471,equal,22,9,[],"{""unregistered_Bao"": 125.0, ""unregistered_Alex"": 125.0}","{""unregistered_participants"": [""Bao"", ""Alex""]}",
59,wek,50.0,INR,2025-09-06 00:00:00.000000,2025-09-06 12:06:39.990017,2025-09-06 12:06:39.990024,equal,unregistered_Bao,9,"[""20""]","{""20"": 16.66, ""unregistered_Bao"": 16.67, ""unregistered_Alex"": 16.67}","{""unregistered_participants"": [""Bao"", ""Alex""]}",
60,Test expense for linking debug,100.0,INR,2025-09-06 18:01:13.150712,2025-09-06 12:31:13.151286,2025-09-06 12:31:13.154354,equal,1,1,[],"{""1"": 100.0}","{""unregistered_participants"": [""debug_test_user""]}",NULL
61,Web interface test expense,50.0,INR,2025-09-06 18:02:32.271185,2025-09-06 12:32:32.271739,2025-09-06 12:32:32.275400,equal,1,1,[],"{""1"": 50.0}","{""unregistered_participants"": [""Web Test User""]}",NULL
62,Test expense for linking debug,100.0,INR,2025-09-06 18:11:14.911063,2025-09-06 12:41:14.911680,2025-09-06 12:41:45.673635,equal,1,1,[],"{""1"": 100.0}","{""unregistered_participants"": [""debug_test_user""]}",NULL
63,Test expense for linking debug,100.0,INR,2025-09-06 18:11:45.669359,2025-09-06 12:41:45.669954,2025-09-06 12:41:45.673636,equal,1,1,[],"{""1"": 100.0}","{""unregistered_participants"": [""debug_test_user""]}",NULL
64,Test expense for linking,100.0,USD,2025-09-06 20:59:02.370055,2025-09-06 15:29:02.370454,2025-09-06 15:29:02.374136,equal,1,1,"[""1""]","{""1"": 100.0}",[],Test
65,Test linking functionality,150.0,USD,2025-09-06 21:01:09.177840,2025-09-06 15:31:09.178250,2025-09-06 15:31:09.181882,equal,1,1,"[""1""]","{""1"": 150.0}",[],Test
66,Test linking functionality,150.0,USD,2025-09-06 21:01:47.130428,2025-09-06 15:31:47.130987,2025-09-06 15:31:47.134639,equal,1,1,"[""1""]","{""1"": 150.0}",[],Test
67,Test linking functionality,150.0,USD,2025-09-06 21:02:25.230783,2025-09-06 15:32:25.231334,2025-09-06 15:32:25.234856,equal,1,1,"[""1""]","{""1"": 150.0}",[],Test
68,dineer,100.0,INR,2025-09-06 00:00:00.000000,2025-09-06 15:57:10.882647,2025-09-06 15:57:10.882653,equal,2,11,"[""22"", ""2""]","{""22"": 25.0, ""2"": 25.0, ""unregistered_Game"": 25.0, ""unregistered_Alex"": 25.0}","{""unregistered_participants"": [""Game"", ""Alex""]}",Food
69,dinner,200.0,INR,2025-09-06 00:00:00.000000,2025-09-06 16:53:08.459076,2025-09-06 16:53:08.459082,equal,2,12,"[""2""]","{""2"": 100.0, ""unregistered_Part1"": 100.0}","{""unregistered_participants"": [""Part1""]}",
70,lunch,250.0,INR,2025-09-07 00:00:00.000000,2025-09-07 09:34:52.794497,2025-09-07 09:36:47.912646,equal,23,11,"[""22"", ""20""]","{""22"": 83.33, ""20"": 83.33, ""23"": 83.33}","{""unregistered_participants"": [""casey""]}",Food
71,food,3000.0,INR,2025-09-14 00:00:00.000000,2025-09-14 09:05:19.186824,2025-09-14 09:05:19.186837,equal,unregistered_Emily,11,"[""22"", ""20"", ""23"", ""3""]","{""22"": 600.0, ""20"": 600.0, ""23"": 600.0, ""3"": 600.0, ""unregistered_Emily"": 600.0}","{""unregistered_participants"": [""Emily""]}",Food
72,side,2000.0,INR,2025-09-14 00:00:00.000000,2025-09-14 09:16:11.631282,2025-09-14 09:16:11.631284,equal,unregistered_Something,11,"[""22"", ""20"", ""3""]","{""22"": 500.0, ""20"": 500.0, ""3"": 500.0, ""unregistered_Something"": 500.0}","{""unregistered_participants"": [""Something""]}",Entertainment
